"Date","Price","Open","High","Low","Change %"
"Nov 05, 2018","22.8634","22.8237","22.8636","22.8109","0.17%"
"Nov 04, 2018","22.8237","22.8030","22.8521","22.8030","0.05%"
"Nov 02, 2018","22.8121","22.9957","23.0576","22.7664","-0.80%"
"Nov 01, 2018","22.9965","23.0065","23.0683","22.8482","-0.05%"
"Oct 31, 2018","23.0073","22.7481","23.1703","22.6977","1.14%"
"Oct 30, 2018","22.7479","22.8169","22.8954","22.6504","-0.30%"
"Oct 29, 2018","22.8158","22.0845","22.9120","22.0287","3.25%"
"Oct 28, 2018","22.0981","22.0380","22.1059","22.0380","0.07%"
"Oct 26, 2018","22.0837","22.1785","22.2657","22.0379","-0.40%"
"Oct 25, 2018","22.1714","22.3291","22.3640","22.0441","-0.75%"
"Oct 24, 2018","22.3388","22.1459","22.3824","21.9779","0.91%"
"Oct 23, 2018","22.1381","22.2537","22.3161","22.0808","-0.51%"
"Oct 22, 2018","22.2519","22.1596","22.2624","22.1420","0.20%"
"Oct 21, 2018","22.2070","22.1875","22.2674","22.1838","0.10%"
"Oct 19, 2018","22.1850","21.9400","22.2812","21.8597","1.13%"
"Oct 18, 2018","21.9377","21.7068","22.0441","21.6718","1.03%"
"Oct 17, 2018","21.7139","21.7164","21.8138","21.6540","0.04%"
"Oct 16, 2018","21.7045","21.8064","21.8988","21.6879","-0.52%"
"Oct 15, 2018","21.8178","21.7974","21.8652","21.7440","0.04%"
"Oct 14, 2018","21.8086","21.7724","21.8146","21.7586","0.01%"
"Oct 12, 2018","21.8067","22.0127","22.0352","21.7775","-0.90%"
"Oct 11, 2018","22.0049","22.0663","22.1863","21.9265","-0.29%"
"Oct 10, 2018","22.0695","21.8789","22.0996","21.8097","0.88%"
"Oct 09, 2018","21.8779","21.7649","21.8999","21.7028","0.50%"
"Oct 08, 2018","21.7688","21.6818","21.7816","21.5678","0.65%"
"Oct 07, 2018","21.6285","21.6753","21.6870","21.6220","-0.30%"
"Oct 05, 2018","21.6945","21.9969","22.0391","21.6616","-1.36%"
"Oct 04, 2018","21.9933","21.8599","22.1007","21.8169","0.61%"
"Oct 03, 2018","21.8599","21.7046","21.8988","21.5794","0.71%"
"Oct 02, 2018","21.7050","21.6652","21.7638","21.6110","0.16%"
"Oct 01, 2018","21.6713","21.7297","21.7655","21.4646","-0.02%"
"Sep 30, 2018","21.6748","21.6968","21.7062","21.6659","-0.25%"
"Sep 28, 2018","21.7301","21.8764","21.9008","21.6861","-0.63%"
"Sep 27, 2018","21.8677","22.1119","22.1995","21.8536","-1.14%"
"Sep 26, 2018","22.1203","22.3554","22.3733","22.1133","-1.06%"
"Sep 25, 2018","22.3574","22.2842","22.4257","22.2478","0.33%"
"Sep 24, 2018","22.2842","22.1181","22.3034","22.0944","0.62%"
"Sep 23, 2018","22.1470","22.1425","22.1470","22.1075","0.09%"
"Sep 21, 2018","22.1270","22.1619","22.2667","22.0556","-0.21%"
"Sep 20, 2018","22.1728","21.9227","22.2244","21.8981","1.17%"
"Sep 19, 2018","21.9172","21.9417","21.9713","21.8040","-0.12%"
"Sep 18, 2018","21.9438","22.0103","22.0866","21.8453","-0.30%"
"Sep 17, 2018","22.0094","21.9475","22.0760","21.9231","0.22%"
"Sep 16, 2018","21.9620","21.9317","21.9667","21.9300","-0.03%"
"Sep 14, 2018","21.9680","22.0194","22.0746","21.9176","-0.23%"
"Sep 13, 2018","22.0184","22.1106","22.1766","21.9518","-0.41%"
"Sep 12, 2018","22.1101","22.2644","22.2921","22.1066","-0.72%"
